SourceTextTitle,SourceTextCode,EventID,PageNumber,OrderWithinPage,begin_word,end_word
"Absalom, Absalom!",AA,15493,3,3.01,From a little after two oclock until almost sundown,Out of quiet thunderclap he would abrupt (man-horse-demon)
"Absalom, Absalom!",AA,15494,4,4.01,Out of quiet thunderclap he would abrupt (man-horse-demon),Then in the long unamaze Quentin seemed to watch
"Absalom, Absalom!",AA,15495,4,4.02,Then in the long unamaze Quentin seemed to watch,Then hearing would reconcile and he would
"Absalom, Absalom!",AA,15496,4,4.03,Then hearing would reconcile and he would,"""Because you are going away to attend the college"
"Absalom, Absalom!",AA,15497,5,5.01,"""Because you are going away to attend the college","""Yessum,"" Quentin said.  Only she dont mean that he thought."
"Absalom, Absalom!",AA,15499,5,5.02,"""Yessum,"" Quentin said.  Only she dont mean that he thought.",he had received by the hand of a small negro
"Absalom, Absalom!",AA,15500,5,5.03,he had received by the hand of a small negro,"He obeyed it immediately after the noon meal,"
"Absalom, Absalom!",AA,15501,6,6.01,"He obeyed it immediately after the noon meal,",It's because she wants it told he thought
"Absalom, Absalom!",AA,15502,6,6.02,It's because she wants it told he thought,- a woman who even in his (Quentin's) father's youth
"Absalom, Absalom!",AA,15503,6,6.03,- a woman who even in his (Quentin's) father's youth,It would be three hours yet before he would learn
"Absalom, Absalom!",AA,15504,7,7.01,It would be three hours yet before he would learn,"(""But why tell me about it?"" he said to"
"Absalom, Absalom!",AA,15505,7,7.02,"(""But why tell me about it?"" he said to","Whatever her reason for choosing him, whether it was"
"Absalom, Absalom!",AA,15506,8,8.01,"Whatever her reason for choosing him, whether it was","""He wasn't a gentleman.  He wasn't even a gentleman."
"Absalom, Absalom!",AA,15507,9,9.01,"""He wasn't a gentleman.  He wasn't even a gentleman.",and it was mine and Ellen's father who gave him that.
"Absalom, Absalom!",AA,15508,9,9.02,and it was mine and Ellen's father who gave him that.,then later blind woman mother fool when she lay
"Absalom, Absalom!",AA,15509,10,10.01,then later blind woman mother fool when she lay,"and only I, a child, a child, mind you, four years"
"Absalom, Absalom!",AA,15510,10,10.02,"and only I, a child, a child, mind you, four years","Yes, blind romantic fool, who did not even have"
"Absalom, Absalom!",AA,15511,10,10.03,"Yes, blind romantic fool, who did not even have",a man who rode into town out of nowhere
"Absalom, Absalom!",AA,15512,10,10.04,a man who rode into town out of nowhere,"""No, not even a gentleman.  Marrying Ellen or"
"Absalom, Absalom!",AA,15513,11,11.01,"""No, not even a gentleman.  Marrying Ellen or",Because he was too young.  He was just twenty-five
"Absalom, Absalom!",AA,15514,11,11.02,Because he was too young.  He was just twenty-five,"""No.  I hold no more brief for Ellen than"
"Absalom, Absalom!",AA,15515,12,12.01,"""No.  I hold no more brief for Ellen than",since apparently and for what reason Heaven has not
"Absalom, Absalom!",AA,15521,12,12.02,since apparently and for what reason Heaven has not,"I saw what had happened to Ellen, my sister."
"Absalom, Absalom!",AA,15524,12,12.03,"I saw what had happened to Ellen, my sister.","""No.  I hold no brief for myself.  I don't plead"
"Absalom, Absalom!",AA,15527,12,12.04,"""No.  I hold no brief for myself.  I don't plead",Is it any wonder that Heaven saw fit
"Absalom, Absalom!",AA,15529,13,13.01,Is it any wonder that Heaven saw fit,"""But that it should have been our father, mine"
"Absalom, Absalom!",AA,15537,13,13.02,"""But that it should have been our father, mine","So that even I, a child still too young"
"Absalom, Absalom!",AA,15541,14,14.01,"So that even I, a child still too young","""Yessum,"" Quentin said.  ""Yes,"" the grim quiet voice"
"Absalom, Absalom!",AA,15542,14,14.02,"""Yessum,"" Quentin said.  ""Yes,"" the grim quiet voice","""Because I was born too late.  I was born"
"Absalom, Absalom!",AA,15543,15,15.01,"""Because I was born too late.  I was born",It should have been later than it was;
"Absalom, Absalom!",AA,15545,15,15.02,It should have been later than it was;,"""Yes.  I was born too late.  I was a child"
"Absalom, Absalom!",AA,15546,15,15.03,"""Yes.  I was born too late.  I was a child","it was the minister himself, speaking in the name"
"Absalom, Absalom!",AA,15549,16,16.01,"it was the minister himself, speaking in the name",And this time it was not even the minister.
"Absalom, Absalom!",AA,15551,17,17.01,And this time it was not even the minister.,Because this Sunday when Ellen and the children
"Absalom, Absalom!",AA,15552,17,17.02,Because this Sunday when Ellen and the children,As soon as papa and I entered those gates
"Absalom, Absalom!",AA,15553,18,18.01,As soon as papa and I entered those gates,"""Yes.  From themselves.  Not from him, not from anybody,"
"Absalom, Absalom!",AA,15554,19,19.01,"""Yes.  From themselves.  Not from him, not from anybody,","""So it was six years now, though it was"
"Absalom, Absalom!",AA,15555,20,20.01,"""So it was six years now, though it was",She accepted that - not reconciled: accepted - as though
"Absalom, Absalom!",AA,15556,20,20.02,She accepted that - not reconciled: accepted - as though,It was a summer of wistaria.  The twilight was
"Absalom, Absalom!",AA,15557,23,23.01,It was a summer of wistaria.  The twilight was,"- the odor, the scent, which five months later"
