event	n_word
Harvard 1910	0
MS Hunt 1834	5
MS Hunt 1834	8
Mountain 1808-23	0
Mountain 1808-23	0
Tidewater 	3
Tidewater 1822-23	2
Tidewater	4
Tidewater	6
Tidewater	11
Tidewater Door	4
Tidewater Door	5
Tidewater Door	3
Tidewater post-door	3
Tidewater post-door	5
MS Hunt   1834	2
MS Hunt	1
Tidewater schoolhouse	0
MS Hunt	2
MS Hunt	3
MS Hunt	2
MS Hunt	2
Haiti 1823	0
Haiti	1
Haiti	0
MS Hunt	1
Sutpen's Hundred 1830s	2
Harvard (Shreve)	1
MS Hunt	4
MS Hunt 	3
S's 100	1
S's 100	2
Harvard (Q)	0
S's 100	2
S's 100	0
Haiti (Bon's birth)	0
Haiti (Bon's birth)	0
S's 100	2
Civil War	0
Civil War	0
Civil War	0
Civil War	0
Civil War	0
Civil War	0
S's 1 postwar	0
S's 1 postwar	0
S's 1 postwar	0
Wash on road during war	3
Wash on road	6
S's Genl Store	0
S's Genl Store	0
Wash's Cabin birth scene 	1
Wash's Cabin birth scene 	3
Wash's Cabin death scene	0
Wash's Cabin death scene	0
Wash's Cabin death scene	0
Wash's Cabin death scene	0
