page,event,n_word
1,1910 Harvard - Quentin,0
2,1834 MS Hunt,5
3,1834 MS Hunt,8
4,1808 - 1817 Mountain,0
5,1808 - 1817 Mountain,0
6,1817 - 1820 Tidewater,3
7,1817 - 1820 Tidewater,2
8,1817 - 1820 Tidewater,4
9,1817 - 1820 Tidewater,6
10,1817 - 1820 Tidewater,11
11,1818 Tidewater Door,4
12,1818 Tidewater Door,5
13,1818 Tidewater Door,3
14,1818 Tidewater Door After,3
15,1818 Tidewater Door After,5
16,1834 MS Hunt,2
17,1834 MS Hunt,1
18,1819 Tidewater schoolhouse  1819,0
19,1834 MS Hunt,2
20,1834 MS Hunt,3
21,1834 MS Hunt,2
22,1834 MS Hunt,2
23,1823 - 1831 Haiti,0
24,1823 - 1831 Haiti,1
25,1823 - 1831 Haiti,0
26,1834 MS Hunt,1
27,1831 -1832 Sutpen's Hundred ,2
28,1910 Harvard - Shreve,1
29,1834 MS Hunt,4
30,1834 MS Hunt,3
31,1831 -1832 Sutpen's Hundred ,1
32,1831 -1832 Sutpen's Hundred ,2
33,1910 Harvard - Quentin,0
34,1831 -1832 Sutpen's Hundred ,2
35,1831 -1832 Sutpen's Hundred ,0
36,1831 - Haiti (Charles Bon born),0
37,1831 - Haiti (Charles Bon born),0
38,1831 -1832 Sutpen's Hundred ,2
39,1861 - 1864 Civil War ,0
40,1861 - 1864 Civil War ,0
41,1861 - 1864 Civil War ,0
42,1861 - 1864 Civil War ,0
43,1861 - 1864 Civil War ,0
44,1861 - 1864 Civil War ,0
45,1866 Sutpen's Hundred Post-war,0
46,1866 Sutpen's Hundred Post-war,0
47,1866 Sutpen's Hundred Post-war,0
48,1861 Wash on road during war,3
49,1861 Wash on road during war,6
50,1867 Sutpen's General Store,0
51,1867 Sutpen's General Store,0
52,1869 Wash's Cabin birth scene,1
53,1869 Wash's Cabin birth scene,3
54,1869 Wash's Cabin death scene,0
55,1869 Wash's Cabin death scene,0
56,1869 Wash's Cabin death scene,0
57,1869 Wash's Cabin death scene,0
