page,event,n_word
1,1910 Harvard - Quentin,0
2,1834 MS Hunt,13
3,1834 MS Hunt,13
4,1808 - 1817 Mountain,0
5,1808 - 1817 Mountain,0
6,1817 - 1820 Tidewater,26
7,1817 - 1820 Tidewater,26
8,1817 - 1820 Tidewater,26
9,1817 - 1820 Tidewater,26
10,1817 - 1820 Tidewater,26
11,1818 Tidewater Door,12
12,1818 Tidewater Door,12
13,1818 Tidewater Door,12
14,1818 Tidewater Door After,8
15,1818 Tidewater Door After,8
16,1834 MS Hunt,3
17,1834 MS Hunt,3
18,1819 Tidewater schoolhouse,0
19,1834 MS Hunt,9
20,1834 MS Hunt,9
21,1834 MS Hunt,9
22,1834 MS Hunt,9
23,1823 - 1831 Haiti,1
24,1823 - 1831 Haiti,1
25,1823 - 1831 Haiti,1
26,1834 MS Hunt,1
27,1831 -1832 Sutpen's Hundred ,2
28,1910 Harvard - Shreve,1
29,1834 MS Hunt,7
30,1834 MS Hunt,7
31,1831 -1832 Sutpen's Hundred ,3
32,1831 -1832 Sutpen's Hundred ,3
33,1910 Harvard - Quentin,0
34,1831 -1832 Sutpen's Hundred ,2
35,1831 -1832 Sutpen's Hundred ,2
36,1831 - Haiti (Charles Bon born),0
37,1831 - Haiti (Charles Bon born),0
38,1831 -1832 Sutpen's Hundred ,2
39,1861 - 1864 Civil War ,0
40,1861 - 1864 Civil War ,0
41,1861 - 1864 Civil War ,0
42,1861 - 1864 Civil War ,0
43,1861 - 1864 Civil War ,0
44,1861 - 1864 Civil War ,0
45,1866 Sutpen's Hundred Post-war,0
46,1866 Sutpen's Hundred Post-war,0
47,1866 Sutpen's Hundred Post-war,0
48,1861 Wash on road during war,9
49,1861 Wash on road during war,9
50,1867 Sutpen's General Store,0
51,1867 Sutpen's General Store,0
52,1869 Wash's Cabin birth scene,4
53,1869 Wash's Cabin birth scene,4
54,1869 Wash's Cabin death scene,0
55,1869 Wash's Cabin death scene,0
56,1869 Wash's Cabin death scene,0
57,1869 Wash's Cabin death scene,0
